graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
0,GAT,1:50,focal_loss,42,GNNExplainer,0.682,15,0.948,0.53,0.0,nan,0.249,-0.191,37,
0,GAT,1:50,focal_loss,42,PGExplainer,0.682,15,nan,0.581,nan,nan,-0.064,0.375,37,no
0,GAT,1:50,focal_loss,42,GNNShap,0.682,15,0.993,nan,0.133,0.935,0.197,0.244,37,
0,GAT,1:50,focal_loss,43,GNNExplainer,0.649,14,0.951,0.531,0.071,nan,0.278,-0.254,33,
0,GAT,1:50,focal_loss,43,PGExplainer,0.649,14,nan,0.825,nan,nan,0.053,-0.143,33,no
0,GAT,1:50,focal_loss,43,GNNShap,0.649,14,0.982,nan,0.143,0.916,0.221,0.194,33,
0,GAT,1:50,focal_loss,44,GNNExplainer,0.709,26,0.936,0.554,0.192,nan,0.312,-0.193,35,
0,GAT,1:50,focal_loss,44,PGExplainer,0.709,26,nan,0.806,nan,nan,0.238,-0.226,35,no
0,GAT,1:50,focal_loss,44,GNNShap,0.709,26,0.992,nan,0.154,0.938,0.292,0.155,35,
0,GAT,1:100,none,42,GNNExplainer,0.648,10,0.992,0.531,1.0,nan,0.523,-0.3,38,
0,GAT,1:100,none,42,PGExplainer,0.648,10,nan,0.781,nan,nan,0.544,0.526,38,no
0,GAT,1:100,none,42,GNNShap,0.648,10,0.994,nan,0.5,0.889,0.143,0.528,38,
0,GAT,1:100,none,43,GNNExplainer,0.645,5,0.985,0.526,0.6,nan,0.559,-0.303,36,
0,GAT,1:100,none,43,PGExplainer,0.645,5,nan,0.922,nan,nan,0.492,-0.303,36,no
0,GAT,1:100,none,43,GNNShap,0.645,5,0.98,nan,0.0,0.912,0.565,0.576,36,
0,GAT,1:100,none,44,GNNExplainer,0.681,6,0.98,0.525,0.833,nan,0.583,-0.147,37,
0,GAT,1:100,none,44,PGExplainer,0.681,6,nan,0.844,nan,nan,0.629,-0.322,37,no
0,GAT,1:100,none,44,GNNShap,0.681,6,0.986,nan,0.0,0.898,0.624,0.514,37,
0,GAT,1:100,class_weighting,42,GNNExplainer,0.665,30,0.983,0.548,0.867,nan,0.569,-0.004,33,
0,GAT,1:100,class_weighting,42,PGExplainer,0.665,30,nan,0.754,nan,nan,-0.046,0.09,33,no
