architecture,scenario,node,node_typ,spearman,plaus_f1,plaus_prec,plaus_rec,plaus_feat,sub_n_nodes,sub_n_edges
GCN,1:10,8052,1,0.9899248120300752,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,31,70
GCN,1:10,9149,3,0.980751879699248,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,34,66
GCN,1:10,8435,2,0.9777443609022555,0.25,0.25,0.25,1.0,24,46
GCN,1:10,9008,3,0.986766917293233,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,33,64
GCN,1:10,9133,3,0.9908270676691728,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,31,60
GCN,1:10,9276,4,0.9757894736842104,0.5666666666666667,0.5666666666666667,0.5666666666666667,1.0,26,50
GCN,1:10,8564,2,0.9738345864661653,0.5,0.5,0.5,1.0,19,36
GCN,1:10,8059,1,0.9864661654135336,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,37,80
GCN,1:10,9466,4,0.9885714285714284,0.525,0.525,0.525,1.0,38,76
GCN,1:10,9460,4,0.9885714285714287,0.525,0.525,0.525,1.0,35,70
GCN,1:10,9376,4,0.9890225563909774,0.55,0.55,0.55,1.0,35,68
GCN,1:10,9481,4,0.9875187969924809,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0,27,52
GCN,1:10,9120,3,0.9908270676691728,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.0,30,58
GCN,1:10,8335,1,0.9893233082706766,0.5476190476190477,0.5476190476190477,0.5476190476190477,1.0,33,76
GCN,1:10,9417,4,0.9827067669172932,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.0,34,66
GCN,1:10,9404,4,0.991578947368421,0.5277777777777778,0.5277777777777778,0.5277777777777778,1.0,33,64
GCN,1:10,8082,1,0.9914285714285713,0.6956521739130435,0.6956521739130435,0.6956521739130435,1.0,27,64
GCN,1:10,9154,3,0.9860150375939849,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,29,56
GCN,1:10,8121,1,0.9924812030075186,0.5652173913043478,0.5652173913043478,0.5652173913043478,1.0,35,78
GCN,1:10,8712,2,0.9891729323308269,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,20,38
GCN,1:10,8099,1,0.9893233082706766,0.58,0.58,0.58,1.0,32,84
GCN,1:10,8619,2,0.9912781954887218,0.25,0.25,0.25,1.0,26,50
GCN,1:10,8336,1,0.9876691729323308,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,30,68
GCN,1:10,9407,4,0.9830075187969923,0.5277777777777778,0.5277777777777778,0.5277777777777778,1.0,40,78
GCN,1:10,9009,3,0.9810526315789472,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,32,62
GCN,1:10,9316,4,0.9774436090225563,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,31,60
GCN,1:10,8065,1,0.9902255639097743,0.5227272727272727,0.5227272727272727,0.5227272727272727,1.0,40,86
GCN,1:10,8155,1,0.9914285714285713,0.525,0.525,0.525,1.0,36,78
GCN,1:10,8521,2,0.9780451127819548,0.5,0.5,0.5,1.0,23,44
GCN,1:50,8066,1,0.9866165413533834,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,36,78
GCN,1:50,8072,1,0.7870676691729324,0.717391304347826,0.717391304347826,0.717391304347826,0.0,82,174
GCN,1:50,9172,3,0.9885714285714284,0.5208333333333334,0.5208333333333334,0.5208333333333334,1.0,40,78
GCN,1:50,8346,1,0.9885714285714287,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,35,80
GCN,1:50,9009,3,0.9894736842105264,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,32,62
GCN,1:50,9008,3,0.989624060150376,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,33,64
GCN,1:50,9176,3,0.9736842105263157,0.5208333333333334,0.5208333333333334,0.5208333333333334,1.0,40,78
TAGCN,1:1,9009,3,0.7526315789473683,0.5,0.5,0.5,1.0,32,62
TAGCN,1:1,8147,1,0.8452631578947367,0.7058823529411765,0.7058823529411765,0.7058823529411765,1.0,28,62
TAGCN,1:1,8740,2,0.6484210526315788,0.375,0.375,0.375,1.0,23,44
